,PROV_REF_ID,DPTO,circuito,P02,P02_count
555,2.0,6091.0,0789A,1,13288
556,2.0,6091.0,0789A,2,14194
557,2.0,6091.0,0789B,1,8259
558,2.0,6091.0,0789B,2,9209
559,2.0,6091.0,0789C,1,8172
560,2.0,6091.0,0789C,2,9205
561,2.0,6091.0,0789D,1,8054
562,2.0,6091.0,0789D,2,8705
563,2.0,6091.0,0789E,1,7814
564,2.0,6091.0,0789E,2,8678
565,2.0,6091.0,0790A,1,4176
566,2.0,6091.0,0790A,2,4374
567,2.0,6091.0,0792A,1,6201
568,2.0,6091.0,0792A,2,6557
569,2.0,6091.0,0792B,1,3879
570,2.0,6091.0,0792B,2,3787
571,2.0,6091.0,0792C,1,6455
572,2.0,6091.0,0792C,2,6941
573,2.0,6091.0,0792D,1,8139
574,2.0,6091.0,0792D,2,8596
575,2.0,6098.0,00511,1,6140
576,2.0,6098.0,00511,2,6617
577,2.0,6098.0,00512,1,5231
578,2.0,6098.0,00512,2,5720
579,2.0,6098.0,00513,1,12373
580,2.0,6098.0,00513,2,13747
581,2.0,6098.0,0513A,1,7399
582,2.0,6098.0,0513A,2,7911
583,2.0,6105.0,00125,1,9836
584,2.0,6105.0,00125,2,11120
585,2.0,6105.0,00126,1,135
586,2.0,6105.0,00126,2,86
587,2.0,6105.0,00127,1,214
588,2.0,6105.0,00127,2,167
589,2.0,6105.0,00129,1,114
590,2.0,6105.0,00129,2,81
591,2.0,6105.0,00131,1,65
592,2.0,6105.0,00131,2,43
593,2.0,6105.0,00132,1,1564
594,2.0,6105.0,00132,2,1152
595,2.0,6105.0,00133,1,744
596,2.0,6105.0,00133,2,752
597,2.0,6105.0,0125A,1,53
598,2.0,6105.0,0125A,2,40
599,2.0,6105.0,0131A,1,64
600,2.0,6105.0,0131A,2,55
601,2.0,6112.0,00136,1,11341
602,2.0,6112.0,00136,2,12957
603,2.0,6112.0,00137,1,1395
604,2.0,6112.0,00137,2,1472
605,2.0,6112.0,00138,1,93
606,2.0,6112.0,00138,2,61
607,2.0,6112.0,00139,1,34
608,2.0,6112.0,00139,2,27
609,2.0,6112.0,00140,1,289
610,2.0,6112.0,00140,2,265
611,2.0,6112.0,00141,1,128
612,2.0,6112.0,00141,2,119
613,2.0,6112.0,00142,1,92
614,2.0,6112.0,00142,2,48
615,2.0,6112.0,00143,1,975
616,2.0,6112.0,00143,2,1002
617,2.0,6112.0,00144,1,244
618,2.0,6112.0,00144,2,201
619,2.0,6112.0,00145,1,258
620,2.0,6112.0,00145,2,232
621,2.0,6119.0,00148,1,7117
622,2.0,6119.0,00148,2,7668
623,2.0,6119.0,00149,1,200
624,2.0,6119.0,00149,2,167
625,2.0,6119.0,00150,1,897
626,2.0,6119.0,00150,2,948
627,2.0,6119.0,00151,1,467
628,2.0,6119.0,00151,2,416
629,2.0,6119.0,00152,1,153
630,2.0,6119.0,00152,2,137
631,2.0,6119.0,00153,1,130
632,2.0,6119.0,00153,2,106
633,2.0,6119.0,0153A,1,116
634,2.0,6119.0,0153A,2,101
635,2.0,6126.0,00155,1,7779
636,2.0,6126.0,00155,2,8566
637,2.0,6126.0,00156,1,2951
638,2.0,6126.0,00156,2,2871
639,2.0,6126.0,0155A,1,3944
640,2.0,6126.0,0155A,2,4423
641,2.0,6126.0,0156A,1,11596
642,2.0,6126.0,0156A,2,10579
643,2.0,6126.0,0156B,1,7360
644,2.0,6126.0,0156B,2,7520
645,2.0,6134.0,00157,1,10965
646,2.0,6134.0,00157,2,11814
647,2.0,6134.0,00158,1,1741
648,2.0,6134.0,00158,2,1604
649,2.0,6134.0,00159,1,578
650,2.0,6134.0,00159,2,459
651,2.0,6134.0,00160,1,152
652,2.0,6134.0,00160,2,102
653,2.0,6134.0,00161,1,48
654,2.0,6134.0,00161,2,35
655,2.0,6134.0,00162,1,179
656,2.0,6134.0,00162,2,163
657,2.0,6134.0,0158A,1,2358
658,2.0,6134.0,0158A,2,2348
659,2.0,6134.0,0158B,1,1729
660,2.0,6134.0,0158B,2,1691
661,2.0,6140.0,00121,1,4940
662,2.0,6140.0,00121,2,5359
663,2.0,6140.0,00122,1,215
664,2.0,6140.0,00122,2,177
665,2.0,6147.0,00164,1,6974
666,2.0,6147.0,00164,2,7686
667,2.0,6147.0,00165,1,258
668,2.0,6147.0,00165,2,242
669,2.0,6147.0,00166,1,216
670,2.0,6147.0,00166,2,185
671,2.0,6147.0,00167,1,64
672,2.0,6147.0,0165A,1,59
673,2.0,6147.0,0165B,1,195
674,2.0,6147.0,0165B,2,198
675,2.0,6147.0,0167A,1,141
676,2.0,6147.0,0167A,2,122
677,2.0,6154.0,00169,1,2045
678,2.0,6154.0,00169,2,2156
679,2.0,6154.0,00170,1,301
680,2.0,6154.0,00170,2,261
681,2.0,6154.0,00171,1,229
682,2.0,6154.0,00171,2,192
683,2.0,6154.0,00172,1,303
684,2.0,6154.0,00172,2,312
685,2.0,6154.0,00173,1,1356
686,2.0,6154.0,00173,2,1391
687,2.0,6154.0,0171A,1,41
688,2.0,6161.0,00175,1,4823
689,2.0,6161.0,00175,2,5128
690,2.0,6161.0,00176,1,319
691,2.0,6161.0,00176,2,266
692,2.0,6161.0,00177,1,159
693,2.0,6161.0,00177,2,122
694,2.0,6168.0,00185,1,2748
695,2.0,6168.0,00185,2,3051
696,2.0,6168.0,00186,1,80
697,2.0,6168.0,00186,2,39
698,2.0,6168.0,00187,1,106
699,2.0,6175.0,00230,1,8534
700,2.0,6175.0,00230,2,9362
701,2.0,6175.0,00231,1,146
702,2.0,6175.0,00231,2,123
703,2.0,6175.0,0230A,1,93
704,2.0,6175.0,0230A,2,84
705,2.0,6175.0,0231A,1,80
706,2.0,6175.0,0231A,2,92
707,2.0,6182.0,00248,1,20557
708,2.0,6182.0,00248,2,22364
709,2.0,6182.0,00249,1,123
710,2.0,6182.0,00249,2,102
711,2.0,6182.0,0248A,1,320
712,2.0,6182.0,0248A,2,255
713,2.0,6182.0,0248B,1,287
714,2.0,6182.0,0248B,2,64
715,2.0,6182.0,0249A,1,884
716,2.0,6182.0,0249A,2,905
717,2.0,6189.0,00232,1,4127
718,2.0,6189.0,00232,2,4789
719,2.0,6189.0,00233,1,78
720,2.0,6189.0,00234,1,156
721,2.0,6189.0,00234,2,86
722,2.0,6189.0,00235,1,94
723,2.0,6189.0,00236,1,83
724,2.0,6189.0,00236,2,56
725,2.0,6189.0,00237,1,370
726,2.0,6189.0,00237,2,390
727,2.0,6189.0,00238,1,839
728,2.0,6189.0,00238,2,861
729,2.0,6189.0,0237A,1,46
730,2.0,6189.0,0237A,2,26
731,2.0,6196.0,00240,1,7166
732,2.0,6196.0,00240,2,8219
733,2.0,6196.0,00241,1,115
734,2.0,6196.0,00241,2,70
735,2.0,6196.0,00242,1,73
