,DPTO,NOMDPTO,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
480,6588,9 de Julio,45998,46237,46476,46715,46954,47194,47433,47672,47911,48150,48528,48901,49263,49636,49986,50348,50698,51037,51376,51710,52038,52366,52682,52998,53309
481,6595,Olavarría,103961,104914,105866,106819,107771,108724,109676,110629,111581,112534,113379,114218,115047,115867,116673,117469,118254,119029,119792,120541,121281,122011,122729,123439,124135
482,6602,Patagones,27938,28217,28495,28774,29053,29331,29610,29889,30167,30446,31073,31698,32318,32927,33524,34118,34700,35278,35844,36403,36955,37499,38031,38559,39080
483,6609,Pehuajó,38400,38590,38780,38970,39160,39349,39539,39729,39919,40109,40507,40905,41297,41687,42068,42443,42813,43180,43541,43897,44247,44594,44932,45268,45597
484,6616,Pellegrini,6030,6017,6004,5991,5978,5965,5952,5939,5926,5913,6024,6240,6324,6400,6484,6568,6658,6742,6833,6923,7021,7112,7209,7307,7411
485,6623,Pergamino,99193,99885,100577,101269,101961,102652,103344,104036,104728,105420,106275,107122,107960,108786,109600,110404,111195,111978,112748,113505,114250,114988,115713,116428,117130
486,6630,Pila,3318,3357,3395,3434,3472,3511,3549,3588,3626,3665,3750,3833,3918,4001,4081,4161,4238,4316,4390,4468,4542,4615,4687,4756,4825
487,6638,Pilar,232463,239917,247371,254825,262279,269733,277187,284641,292095,299549,307943,316266,324500,332629,340637,348532,356326,364012,371584,379034,386373,393614,400749,407780,414704
488,6644,Pinamar,20666,21236,21806,22377,22947,23517,24087,24658,25228,25798,26997,28184,29358,30519,31662,32789,33901,34998,36079,37141,38190,39224,40243,41245,42235
489,6648,Presidente Perón,60191,62522,64852,67183,69513,71844,74174,76505,78835,81166,83024,84867,86691,88490,90263,92012,93738,95439,97116,98766,100391,101994,103574,105130,106663
490,6651,Puán,16381,16324,16268,16211,16154,16098,16041,15984,15928,15871,15900,15929,15978,16027,16075,16123,16169,16214,16260,16304,16348,16391,16433,16474,16515
491,6655,Punta Indio,9362,9429,9496,9563,9630,9696,9763,9830,9897,9964,10157,10353,10543,10733,10923,11107,11291,11469,11644,11819,11988,12161,12326,12492,12652
492,6658,Quilmes,518788,526307,533827,541346,548865,556385,563904,571423,578943,586462,590339,594252,598067,601894,605746,609602,613421,617194,620922,624657,628274,631774,635232,638553,641830
493,6665,Ramallo,29179,29628,30077,30525,30974,31423,31872,32320,32769,33218,33790,34360,34923,35479,36027,36566,37098,37623,38141,38650,39151,39648,40135,40615,41088
494,6672,Rauch,14434,14529,14625,14720,14816,14911,15007,15102,15198,15293,15399,15505,15609,15714,15815,15916,16016,16113,16210,16305,16399,16491,16582,16672,16760
495,6679,Rivadavia,15452,15548,15644,15740,15836,15933,16029,16125,16221,16317,16732,17044,17316,17588,17893,18187,18474,18746,19010,19264,19503,19735,19955,20172,20374
496,6686,Rojas,22842,22930,23017,23105,23192,23280,23367,23455,23542,23630,23808,23984,24158,24330,24499,24666,24830,24994,25152,25311,25466,25619,25771,25919,26064
497,6693,Roque Pérez,10902,11065,11227,11390,11552,11715,11877,12040,12202,12365,12513,12649,12785,12917,13049,13177,13304,13429,13550,13669,13786,13901,14014,14124,14233
498,6700,Saavedra,19715,19849,19982,20116,20250,20383,20517,20651,20784,20918,20962,21005,21048,21090,21132,21173,21213,21253,21292,21331,21369,21407,21443,21480,21515
499,6707,Saladillo,29600,29902,30204,30506,30808,31109,31411,31713,32015,32317,32593,32868,33140,33408,33673,33933,34191,34445,34694,34940,35183,35423,35658,35890,36119
500,6714,Salto,29189,29595,30001,30406,30812,31218,31624,32029,32435,32841,33412,33980,34541,35097,35643,36181,36713,37236,37754,38261,38762,39257,39742,40222,40694
501,6721,Salliqueló,8682,8686,8689,8693,8696,8700,8703,8707,8710,8714,8752,8801,8856,8911,8966,9015,9070,9124,9179,9239,9289,9344,9404,9459,9513
502,6728,San Andrés de Giles,20829,21089,21349,21609,21869,22128,22388,22648,22908,23168,23456,23741,24024,24304,24579,24850,25118,25382,25642,25898,26149,26399,26644,26885,27123
503,6735,San Antonio de Areco,21333,21551,21769,21988,22206,22424,22642,22861,23079,23297,23601,23900,24197,24492,24780,25065,25347,25625,25898,26167,26432,26695,26952,27204,27455
504,6742,San Cayetano,8119,8158,8197,8236,8275,8313,8352,8391,8430,8469,8508,8547,8587,8626,8664,8702,8740,8775,8812,8848,8883,8918,8952,8985,9019
505,6749,San Fernando,151131,152611,154091,155571,157051,158532,160012,161492,162972,164452,165045,165633,166215,166789,167355,167913,168464,169007,169542,170069,170587,171099,171603,172100,172589
506,6756,San Isidro,291505,291993,292480,292968,293456,293943,294431,294919,295406,295894,295903,295912,295920,295927,295935,295942,295948,295955,295961,295967,295972,295978,295983,295986,295990
507,6760,San Miguel,253086,255856,258627,261397,264167,266938,269708,272478,275249,278019,282540,287027,291516,295951,300323,304396,308415,312380,316286,320129,323915,327650,331329,334954,338526
508,6763,San Nicolás,137867,138879,139891,140903,141915,142928,143940,144952,145964,146976,148732,150474,152196,153898,155572,157225,158855,160465,162047,163608,165142,166657,168151,169621,171072
509,6770,San Pedro,55234,55704,56174,56645,57115,57585,58055,58526,58996,59466,60259,61045,61823,62591,63349,64093,64829,65555,66272,66974,67668,68353,69025,69690,70344
510,6778,San Vicente,44529,46194,47858,49523,51187,52852,54516,56181,57845,59510,62938,66337,69701,73021,76291,79517,82699,85839,88931,91975,94973,97929,100844,103715,106544
511,6784,Suipacha,8904,9041,9177,9314,9451,9587,9724,9861,9997,10134,10277,10419,10559,10697,10834,10968,11100,11231,11361,11487,11612,11736,11856,11976,12094
512,6791,Tandil,108109,109945,111781,113616,115452,117288,119124,120959,122795,124631,126407,128161,129921,131658,133367,135053,136718,138358,139974,141565,143132,144678,146199,147700,149176
513,6798,Tapalqué,8296,8401,8505,8610,8715,8819,8924,9029,9133,9238,9368,9498,9625,9750,9875,9997,10117,10236,10353,10468,10582,10695,10805,10914,11020
514,6805,Tigre,301223,309589,317955,326320,334686,343052,351418,359783,368149,376515,383098,389597,395776,401796,407729,413584,419230,424798,430286,435724,441049,446291,451471,456584,461478
515,6812,Tordillo,1742,1746,1750,1755,1759,1763,1767,1772,1776,1780,1850,1896,1967,2037,2107,2154,2224,2270,2341,2411,2457,2528,2574,2621,2668
516,6819,Tornquist,11759,11876,11993,12109,12226,12343,12460,12576,12693,12810,12968,13126,13281,13436,13587,13736,13885,14030,14173,14314,14454,14591,14725,14859,14989
517,6826,Trenque Lauquen,40181,40530,40880,41229,41579,41928,42278,42627,42977,43326,43842,44357,44865,45366,45860,46348,46829,47301,47769,48230,48682,49128,49567,50003,50428
518,6833,Tres Arroyos,57244,57272,57300,57328,57356,57385,57413,57441,57469,57497,57611,57794,58023,58320,58549,58846,59212,59624,60104,60630,61225,61889,62598,63375,64176
519,6840,Tres de Febrero,336467,337230,337994,338757,339521,340284,341048,341811,342575,343338,345682,347867,349687,351599,353670,355605,356515,357516,358654,359929,361067,362319,363434,365141,366461
520,6847,Tres Lomas,7439,7547,7655,7762,7870,7978,8086,8193,8301,8409,8493,8544,8618,8670,8733,8788,8843,8895,8946,8995,9043,9090,9135,9179,9221
521,6854,25 de Mayo,34877,35018,35160,35301,35442,35584,35725,35866,36008,36149,36082,36017,35952,35889,35825,35764,35703,35643,35583,35525,35467,35411,35354,35299,35245
522,6861,Vicente López,274082,273894,273706,273518,273330,273141,272953,272765,272577,272389,273442,274328,275039,275718,276360,276968,277556,278130,278788,279394,279983,280541,281047,281542,282013
523,6868,Villa Gesell,24282,25122,25963,26803,27643,28484,29324,30164,31005,31845,32334,32819,33298,33772,34238,34699,35152,35600,36041,36475,36903,37325,37740,38150,38553
524,6875,Villarino,26517,27033,27549,28065,28581,29098,29614,30130,30646,31162,31286,31410,31531,31652,31770,31886,32002,32115,32227,32336,32445,32552,32657,32760,32862
525,6882,Zárate,101271,102792,104312,105833,107354,108874,110395,111916,113436,114957,116426,117881,119322,120744,122145,123527,124890,126235,127561,128864,130148,131415,132663,133893,135105
